item,Titre,et,createur,AnneeCreation,image,coord 2
http://www.wikidata.org/entity/Q3076202,fontaine de la Paix,fontaine de la Paix-Jean-Joseph Espercieux,Jean-Joseph Espercieux,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontana%20di%20rue%20bonaparte%2003.JPG,"48.8494, 2.33278"
http://www.wikidata.org/entity/Q3076204,fontaine de la Petite-Halle,fontaine de la Petite-Halle-Jean Beausire,Jean Beausire,,http://commons.wikimedia.org/wiki/Special:FilePath/Place%20de%20la%20B%C3%A9lc%C3%A8re-d%C3%A9cembre%202005.jpg,"48.8504, 2.38311"
http://www.wikidata.org/entity/Q3076214,fontaine de la place François-Ier,fontaine de la place François-Ier-Gabriel Davioud,Gabriel Davioud,1865,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20de%20la%20Place%20Fran%C3%A7ois%20Ier%20Paris%208e%20vue%20globale.jpg,"48.8662, 2.30781"
http://www.wikidata.org/entity/Q3076215,fontaine de la place Victor-Hugo,fontaine de la place Victor-Hugo-Max Ingrand,Max Ingrand,,,"48.86968, 2.28537"
http://www.wikidata.org/entity/Q3076201,fontaine de la Porte Dorée,fontaine de la Porte Dorée-Léon-Ernest Drivier,Léon-Ernest Drivier,1931,http://commons.wikimedia.org/wiki/Special:FilePath/Athena%20-%20Porte%20Dor%C3%A9e.jpg,"48.8352, 2.4075"
http://www.wikidata.org/entity/Q3076201,fontaine de la Porte Dorée,fontaine de la Porte Dorée-Louis Madeline,Louis Madeline,1931,http://commons.wikimedia.org/wiki/Special:FilePath/Athena%20-%20Porte%20Dor%C3%A9e.jpg,"48.8352, 2.4075"
http://www.wikidata.org/entity/Q3076156,fontaine de Léda,fontaine de Léda-Achille Valois,Achille Valois,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20de%20Leda%2C%20Luxembourg%20Gardens%2C%20Paris%2027%20April%202010.jpg,"48.848, 2.3393"
http://www.wikidata.org/entity/Q3076151,fontaine de Mars,fontaine de Mars-François-Jean Bralle,François-Jean Bralle,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20de%20Mars.jpg,"48.8584, 2.3024"
http://www.wikidata.org/entity/Q3076151,fontaine de Mars,fontaine de Mars-Pierre-Nicolas Beauvallet,Pierre-Nicolas Beauvallet,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20de%20Mars.jpg,"48.8584, 2.3024"
http://www.wikidata.org/entity/Q3076221,fontaine des Ambassadeurs,fontaine des Ambassadeurs-Francisque Duret,Francisque Duret,1840,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20des%20Ambassadeurs%20Paris%208e%20003.jpg,"48.8674, 2.318"
